team,week,goals,assists,shots,shots_on_goal,fouls_committed,yellow_cards,red_cards,offsides,corners,possession,passes,interceptions,home,shot_accuracy,opp_shots,opp_shots_on_goal,opp_yellow_cards,opp_red_cards,opp_goals,opp_assists,opp_fouls_committed,opp_team,points_won
Chacarita,4.0,0.0,0.0,12.0,3.0,13.0,2.0,2.0,1.0,4.0,0.59,299.0,8.0,1.2,0.25,8.0,3.0,2.0,1.0,1.0,0.0,13.0,Talleres,0
Talleres,4.0,1.0,0.0,8.0,3.0,13.0,2.0,1.0,1.0,14.0,0.41,167.0,4.0,1.0,0.375,12.0,3.0,2.0,2.0,0.0,0.0,13.0,Chacarita,3
Velez Sarsfield,4.0,0.0,0.0,10.0,2.0,9.0,3.0,0.0,2.0,4.0,0.53,363.0,7.0,1.2,0.2,5.0,4.0,2.0,0.0,4.0,2.0,10.0,Boca Juniors,0
Boca Juniors,4.0,4.0,2.0,5.0,4.0,10.0,2.0,0.0,0.0,5.0,0.47,266.0,28.0,1.0,0.8,10.0,2.0,3.0,0.0,0.0,0.0,9.0,Velez Sarsfield,3
Godoy Cruz,4.0,1.0,0.0,4.0,1.0,22.0,3.0,0.0,1.0,4.0,0.35,137.0,8.0,1.2,0.25,19.0,6.0,2.0,0.0,0.0,0.0,5.0,Independiente,3
Independiente,4.0,0.0,0.0,19.0,6.0,5.0,2.0,0.0,1.0,7.0,0.65,383.0,33.0,1.0,0.3157894736842105,4.0,1.0,3.0,0.0,1.0,0.0,22.0,Godoy Cruz,0
Colon,4.0,3.0,3.0,12.0,7.0,14.0,3.0,0.0,4.0,8.0,0.44,235.0,19.0,1.2,0.5833333333333334,12.0,2.0,1.0,0.0,1.0,1.0,13.0,Defensa y Justicia,3
Defensa y Justicia,4.0,1.0,1.0,12.0,2.0,13.0,1.0,0.0,3.0,4.0,0.56,354.0,28.0,1.0,0.16666666666666666,12.0,7.0,3.0,0.0,3.0,3.0,14.0,Colon,0
Olimpo,4.0,0.0,0.0,13.0,5.0,19.0,2.0,0.0,3.0,7.0,0.51,227.0,11.0,1.2,0.38461538461538464,20.0,6.0,2.0,0.0,1.0,0.0,10.0,Gimnasia LP,0
Gimnasia LP,4.0,1.0,0.0,20.0,6.0,10.0,2.0,0.0,0.0,5.0,0.49,182.0,40.0,1.0,0.3,13.0,5.0,2.0,0.0,0.0,0.0,19.0,Olimpo,3
Rosario Central,4.0,0.0,0.0,15.0,4.0,15.0,2.0,0.0,3.0,6.0,0.63,398.0,10.0,1.2,0.26666666666666666,7.0,4.0,1.0,0.0,4.0,3.0,12.0,Banfield,0
Banfield,4.0,4.0,3.0,7.0,4.0,12.0,1.0,0.0,4.0,2.0,0.37,148.0,11.0,1.0,0.5714285714285714,15.0,4.0,2.0,0.0,0.0,0.0,15.0,Rosario Central,3
River Plate,4.0,1.0,0.0,15.0,7.0,10.0,1.0,0.0,3.0,11.0,0.57,267.0,16.0,1.2,0.4666666666666667,8.0,1.0,4.0,0.0,1.0,1.0,16.0,Argentinos Jrs.,1
Argentinos Jrs.,4.0,1.0,1.0,8.0,1.0,16.0,4.0,0.0,1.0,3.0,0.43,170.0,5.0,1.0,0.125,15.0,7.0,1.0,0.0,1.0,0.0,10.0,River Plate,1
Racing Club,4.0,0.0,0.0,10.0,1.0,9.0,1.0,0.0,2.0,9.0,0.63,468.0,9.0,1.2,0.1,5.0,1.0,2.0,0.0,0.0,0.0,12.0,San Martin de San Juan,1
San Martin de San Juan,4.0,0.0,0.0,5.0,1.0,12.0,2.0,0.0,3.0,4.0,0.37,193.0,7.0,1.0,0.2,10.0,1.0,1.0,0.0,0.0,0.0,9.0,Racing Club,1
Lanus,4.0,1.0,0.0,10.0,3.0,17.0,3.0,1.0,1.0,2.0,0.61,457.0,15.0,1.2,0.3,11.0,1.0,4.0,0.0,0.0,0.0,14.0,Newell's Old Boys,3
Newell's Old Boys,4.0,0.0,0.0,11.0,1.0,14.0,4.0,0.0,4.0,4.0,0.39,212.0,20.0,1.0,0.09090909090909091,10.0,3.0,3.0,1.0,1.0,0.0,17.0,Lanus,0
Estudiantes de La Plata,4.0,1.0,1.0,13.0,3.0,14.0,2.0,0.0,2.0,5.0,0.5,283.0,18.0,1.2,0.23076923076923078,12.0,4.0,2.0,0.0,3.0,3.0,17.0,San Lorenzo,0
San Lorenzo,4.0,3.0,3.0,12.0,4.0,17.0,2.0,0.0,2.0,1.0,0.5,276.0,30.0,1.0,0.3333333333333333,13.0,3.0,2.0,0.0,1.0,1.0,14.0,Estudiantes de La Plata,3
Defensa y Justicia,5.0,0.0,0.0,22.0,6.0,15.0,1.0,0.0,1.0,8.0,0.6,404.0,30.0,1.2,0.2727272727272727,5.0,0.0,1.0,0.0,0.0,0.0,8.0,Huracan,1
Huracan,5.0,0.0,0.0,5.0,0.0,8.0,1.0,0.0,0.0,5.0,0.4,191.0,29.0,1.0,0.0,22.0,6.0,1.0,0.0,0.0,0.0,15.0,Defensa y Justicia,1
Union Santa Fe,5.0,2.0,2.0,21.0,7.0,7.0,1.0,0.0,4.0,5.0,0.58,359.0,11.0,1.2,0.3333333333333333,2.0,1.0,2.0,1.0,0.0,0.0,10.0,Olimpo,3
Olimpo,5.0,0.0,0.0,2.0,1.0,10.0,2.0,1.0,4.0,1.0,0.42,192.0,12.0,1.0,0.5,21.0,7.0,1.0,0.0,2.0,2.0,7.0,Union Santa Fe,0
Atletico Tucuman,5.0,0.0,0.0,9.0,3.0,13.0,1.0,0.0,5.0,5.0,0.51,149.0,22.0,1.2,0.3333333333333333,18.0,4.0,4.0,0.0,0.0,0.0,18.0,Belgrano,1
Belgrano,5.0,0.0,0.0,18.0,4.0,18.0,4.0,0.0,4.0,6.0,0.49,171.0,14.0,1.0,0.2222222222222222,9.0,3.0,1.0,0.0,0.0,0.0,13.0,Atletico Tucuman,1
San Lorenzo,5.0,0.0,0.0,12.0,4.0,17.0,1.0,0.0,2.0,8.0,0.53,287.0,33.0,1.2,0.3333333333333333,6.0,2.0,4.0,0.0,0.0,0.0,16.0,Colon,1
Colon,5.0,0.0,0.0,6.0,2.0,16.0,4.0,0.0,5.0,5.0,0.47,245.0,11.0,1.0,0.3333333333333333,12.0,4.0,1.0,0.0,0.0,0.0,17.0,San Lorenzo,1
Temperley,5.0,0.0,0.0,11.0,5.0,12.0,2.0,0.0,3.0,4.0,0.6,440.0,28.0,1.2,0.45454545454545453,12.0,6.0,1.0,0.0,3.0,2.0,9.0,Estudiantes de La Plata,0
Estudiantes de La Plata,5.0,3.0,2.0,12.0,6.0,9.0,1.0,0.0,0.0,4.0,0.4,199.0,17.0,1.0,0.5,11.0,5.0,2.0,0.0,0.0,0.0,12.0,Temperley,3
Gimnasia LP,5.0,1.0,1.0,18.0,4.0,8.0,3.0,0.0,2.0,6.0,0.52,350.0,11.0,1.2,0.2222222222222222,7.0,5.0,3.0,0.0,3.0,0.0,15.0,Lanus,0
Lanus,5.0,3.0,0.0,7.0,5.0,15.0,3.0,0.0,4.0,4.0,0.48,308.0,9.0,1.0,0.7142857142857143,18.0,4.0,3.0,0.0,1.0,1.0,8.0,Gimnasia LP,3
Argentinos Jrs.,5.0,2.0,1.0,22.0,4.0,15.0,3.0,0.0,2.0,4.0,0.46,171.0,8.0,1.2,0.18181818181818182,12.0,3.0,3.0,0.0,0.0,0.0,14.0,Racing Club,3
Racing Club,5.0,0.0,0.0,12.0,3.0,14.0,3.0,0.0,1.0,4.0,0.54,207.0,10.0,1.0,0.25,22.0,4.0,3.0,0.0,2.0,1.0,15.0,Argentinos Jrs.,0
Talleres,5.0,1.0,1.0,22.0,6.0,6.0,2.0,0.0,3.0,7.0,0.61,362.0,20.0,1.2,0.2727272727272727,8.0,1.0,4.0,0.0,0.0,0.0,18.0,Patronato,3
Patronato,5.0,0.0,0.0,8.0,1.0,18.0,4.0,0.0,1.0,1.0,0.39,156.0,17.0,1.0,0.125,22.0,6.0,2.0,0.0,1.0,1.0,6.0,Talleres,0
